Date/time,Temperature,Humidity,Pressure,accel x,accel y ,accel z,gyro x,gyro y,gyro z,compass x,compass y,compass z,pir_motion,color blue,color red,color green,color clear,color gain,latitude,longitude,elevation
2022-04-14 04:00:08.766409,34.0134696960449,30.1787414550781,1006.00366210938,0.0197639986872673,0.0309880003333092,0.0136639997363091,0.00217891857028007,0.0000201314687728882,-0.00321318209171295,13.9462022781372,25.4213199615479,-10.6349487304688,0,0,0,0,0,60,"45deg 14' 34.9""","83deg 51' 01.5""",418.952302981977
2022-04-14 04:00:13.656231,34.6179962158203,30.3409004211426,1005.9970703125,0.0200079996138811,0.0295239984989166,0.0126879997551441,0.0000138804316520691,-0.00026114284992218,-0.00103203020989895,21.5131874084473,38.5197944641113,-16.4996337890625,0,0,0,0,0,60,"45deg 23' 49.0""","84deg 14' 01.3""",418.998674450064
2022-04-14 04:00:18.550989,33.9956893920898,30.3256015777588,1006.0087890625,0.0200079996138811,0.0304999984800816,0.0143959997221828,-0.00236422196030617,0.00153341144323349,-0.000120174139738083,25.1294403076172,44.9801254272461,-19.3007392883301,0,0,0,0,0,60,"45deg 32' 45.2""","84deg 36' 36.9""",419.043763018009
2022-04-14 04:00:23.441798,34.5113143920898,30.3378410339355,1006.037109375,0.0212280005216598,0.0307439994066954,0.0141519997268915,-0.00141078606247902,0.000331394374370575,-0.000138858333230019,26.5408611297607,48.8508720397949,-20.9237041473389,0,0,0,0,0,60,"45deg 41' 37.2""","84deg 59' 22.1""",419.088707164166
2022-04-14 04:00:28.365602,33.9067878723145,30.5611915588379,1006.01977539063,0.0195199996232986,0.0300120003521442,0.0143959997221828,0.00101159140467644,0.0000594928860664368,0.000478720292448998,27.7331123352051,50.8169631958008,-21.8346157073975,1,0,0,0,0,60,"45deg 50' 24.1""","85deg 22' 14.7""",419.133422073053
2022-04-14 04:00:33.279621,33.7645492553711,30.2491111755371,1006.01049804688,0.0185439996421337,0.0300120003521442,0.0143959997221828,0.000400539487600327,0.000351466238498688,-0.000395696610212326,28.4581432342529,51.4440078735352,-21.8012676239014,0,0,0,0,0,60,"45deg 59' 09.2""","85deg 45' 23.5""",419.178193495368
2022-04-14 04:00:38.211600,33.7823257446289,30.270528793335,1006.00903320313,0.0212280005216598,0.0290360003709793,0.0102479998022318,0.00103620439767838,-0.00111724436283112,-0.00100687518715858,28.9427871704102,51.9050254821777,-21.9462203979492,0,0,0,0,0,60,"46deg 07' 49.1""","86deg 08' 40.3""",419.222736686136
2022-04-14 04:00:43.135807,34.6891174316406,30.5948467254639,1006.00756835938,0.0200079996138811,0.0304999984800816,0.0126879997551441,-0.00137786567211151,0.000679798424243927,0.00107515789568424,29.0827922821045,52.7411804199219,-22.218469619751,1,0,0,0,0,60,"46deg 16' 22.2""","86deg 32' 00.5""",419.266910688407
2022-04-14 04:00:48.060769,33.7467651367187,30.1328468322754,1006.03784179688,0.0197639986872673,0.0300120003521442,0.0129319997504354,-0.0000983476638793945,-0.00139577686786652,-0.00165081024169922,29.1771411895752,53.2647247314453,-21.8614807128906,0,0,0,0,0,60,"46deg 24' 51.9""","86deg 55' 33.7""",419.311003342808
2022-04-14 04:00:53.130141,34.03125,29.8666610717773,1006.02856445313,0.0229359995573759,0.0304999984800816,0.014639999717474,0.00020691379904747,-0.00138149410486221,-0.00133351609110832,29.4472408294678,53.1937217712402,-22.385570526123,0,0,0,0,0,60,"46deg 33' 27.7""","87deg 19' 47.1""",419.35584554473
2022-04-14 04:00:58.330142,34.1023712158203,29.5117473602295,1006.03393554688,0.0202520005404949,0.0302559994161129,0.0148839997127652,0.000797338783740997,-0.000181876122951508,-0.0000862255692481995,29.458080291748,53.2120704650879,-22.1113262176514,1,0,0,0,0,60,"46deg 42' 14.8""","87deg 44' 58.1""",419.401919172273
2022-04-14 04:01:03.469908,34.1734924316406,30.5,1006.02026367188,0.0185439996421337,0.0314759984612465,0.0141519997268915,-0.000373579561710358,0.00316046178340912,0.000188065692782402,29.4505462646484,53.2047233581543,-22.3187007904053,0,0,0,0,0,60,"46deg 50' 46.7""","88deg 09' 50.8""",419.446895672887
2022-04-14 04:01:08.567601,33.9423484802246,29.9951648712158,1006.02978515625,0.01927600055933,0.0309880003333092,0.0134199997410178,-0.00218730792403221,-0.000484757125377655,-0.000417318195104599,29.6362323760986,53.1355400085449,-21.8766479492187,0,0,0,0,0,60,"46deg 59' 09.9""","88deg 34' 43.5""",419.491338902879
2022-04-14 04:01:13.547442,34.0845909118652,30.3409004211426,1006.03100585938,0.0207399986684322,0.0302559994161129,0.0126879997551441,0.00121356919407845,-0.000520773231983185,0.00168570503592491,29.9804553985596,53.5153007507324,-21.6061725616455,1,0,0,0,0,60,"47deg 07' 20.6""","88deg 59' 24.9""",419.53491980974
2022-04-14 04:01:18.434052,34.6179962158203,30.3256015777588,1006.03344726563,0.0200079996138811,0.0304999984800816,0.0126879997551441,-0.00267083570361137,-0.001716248691082,0.00132723897695541,30.0423717498779,53.812427520752,-21.5805549621582,0,0,0,0,0,60,"47deg 15' 10.5""","89deg 23' 27.8""",419.576870721404
2022-04-14 04:01:23.315186,34.0668106079102,30.2491111755371,1005.99877929688,0.0197639986872673,0.0304999984800816,0.0131759997457266,-0.00139744952321053,-0.00107547640800476,-0.000480219721794128,30.2323150634766,53.7857360839844,-21.5556697845459,0,0,0,0,0,60,"47deg 22' 56.3""","89deg 47' 43.1""",419.618687435479
